,nombre,nombre_asesor,partido,pcia,asesores_masculinos,asesores_femeninos
Castillo    Oscar Aníbal,Castillo    Oscar Aníbal,"['MARCELO EDUARDO', 'MARIA EUGENIA', 'ROSA ANGELICA', 'JESSICA LORENA', 'ALICIA PAULA', 'JORGE ALBERTO', 'HAYDEE SUSANA', 'RAMON ENRIQUE', 'ALEJANDRA MARIEL', 'ROGELIO EUGENIO', 'GUILLERMO ALEJANDRO', 'RICARDO ROSENDO', 'DARIO GILBERTO', 'MANUEL CESAR', 'MARIA ANGELA', 'FRANCISCO LUIS', 'ADRIAN EDUARDO', 'MARTIN SEBASTIAN', 'MARIA ALEJANDRA', 'LEONARDO PABLO', 'GUILLERMO', 'ANA BELEN']",Frente Cívico y Social,Catamarca,13,9
Catalán Magni    Julio César,Catalán Magni    Julio César,"['SONIA ISABEL', 'HECTOR HUMBERTO', 'FLORENCIA MELISA', 'MARIA CLARA', 'DANISSA MERCEDES', 'FRANCINA', 'MARIA FERNANDA', 'PAMELA', 'ELENA GRACIELA', 'STELLA MARIS', 'ROBERTO ALFREDO', 'GISELA', 'NELLO ARIEL', 'ANDREA BETTINA', 'JENNY PAOLA', 'MICAELA', 'EDGARDO OMAR', 'AYMARA JAZMIN', 'SANDRA ELENA', 'NATALIA SOLEDAD', 'ADRIANA ELISA', 'LUCIANA', 'MARIA FLORENCIA', 'FERNANDO JUAN LUIS', 'JOSE LUIS', 'GONZALO', 'LEONEL', 'RODOLFO HORACIO', 'NESTOR RUBEN', 'MARIA ALICIA', 'SANTIAGO JAVIER CEFERINO', 'MARTIN DARIO', 'MARIA JOSE', 'MARIA GALA', 'JEREMIAS', 'JAVIER', 'JUAN ANDRES']",Frente para la Victoria,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15,21
Catalfamo    María Eugenia,Catalfamo    María Eugenia,"['ADRIANA ALICIA', 'NICOLAS ESTEBAN', 'MARIA LAURA', 'EDGARDO GERMAN', 'MIGUEL ANGEL', 'MAURO NICOLAS', 'MARIANELA VANESA', 'FERNANDO ALDO', 'JOSE NICOLAS', 'CONSTANZA', 'MILAGROS', 'VIRGINIA', 'MARIA MERCEDES', 'MAURO GASTON', 'MARCELA BEATRIZ', 'MARIA CANDELARIA', 'MARIELA ALEJANDRA', 'MAGDALENA HAYDEÉ', 'RAMIRO EMANUEL', 'DANY LUIS', 'JESICA BETSABE', 'MARIA AGUSTINA', 'ESTEBAN', 'JULIA EVA', 'CARLOS ANGEL']",Frente Unidad Justicialista San Luis,San Luis,11,14
Closs    Maurice Fabián,Closs    Maurice Fabián,"['GABRIELA ALEJANDRINA', 'SERGIO FERNANDO', 'LEONOR BEATRIZ', 'MIRIAM ELIZABETH', 'FABRIZZIO HERNAN', 'DARIO', 'CAROLINA', 'MARIA SABRINA', 'PRISCILA NAHIARA', 'DAVID ADOLFO', 'LUCAS', 'SERGIO RAMIRO', 'LORENA GABRIELA', 'SONIA ELIZABETH', 'VANESA SABRINA', 'MARIA VICTORIA', 'MANUEL ALEJANDRO', 'EVELINA CAROLINA', 'ZULMA HILDA', 'GERMAN ANDRES', 'MARIA SOLEDAD', 'GERMAN IVAN', 'GRACIELA ROSANA', 'GABRIEL CHRISTIAN', 'MARTA GRACIELA', 'ENRIQUE ALFREDO', 'JULIO RICARDO']",Frente Renovador de la Concordia,Misiones,12,15
Cobos    Julio César Cleto,Cobos    Julio César Cleto,"['FLORENCIA', 'LEANDRO', 'FRANCISCO JAVIER', 'GABRIELA FERNANDA', 'MARIA SOLEDAD', 'CAROLINA', 'LILIANA', 'RICARDO EDMUNDO', 'MARIA EUGENIA', 'NESTOR GABRIEL', 'ELEONORA', 'CECILIA EMILCE', 'MARIA ISABEL', 'PAULINA ADRIANA', 'DARIO GASTON', 'MARTIN GABRIEL', 'BASILIA VERONICA', 'PAOLA VIVIANA', 'DIEGO ALBERTO', 'HECTOR ANTONIO', 'VERONICA']",Alianza Cambiemos,Mendoza,8,13
Costa    Eduardo Raúl,Costa    Eduardo Raúl,"['MARCELO MARTIN', 'RAFAEL BALTAZAR', 'LUCIA MARIA', 'PAULA ANDREA']",Union para Vivir Mejor Cambiemos,Santa Cruz,2,2
Crexell    Carmen Lucila,Crexell    Carmen Lucila,"['MARIA ANDREA', 'LUCIANO', 'RODRIGO RAUL', 'INES', 'GERMAN', 'NAHUEL', 'MAGALY', 'JULIANA', 'VALERIA JANINA', 'PABLO GERMAN', 'ALEJANDRO RAUL', 'GABRIEL GUSTAVO', 'LUCAS NICOLAS', 'CARMELA JUANA', 'JUAN FACUNDO', 'MARIA INES']",Movimiento Popular Neuquino,Neuquén,9,7
De Angeli            Alfredo Luis,De Angeli            Alfredo Luis,"['MATIAS IVAN', 'MARTIN JULIAN', 'KAREN CASANDRA', 'ALEJO', 'MARIA ESPERANZA', 'CRISTIAN CARLOS', 'ALFREDO FABIAN', 'ALEJANDRO', 'DARDO CESAR MARIA', 'CLAUDIA LILIANA', 'NESTOR ENRIQUE', 'JORGE OMAR']",Alianza Unión por Entre Ríos,Entre Ríos,9,3
Durango    Norma Haydée,Durango    Norma Haydée,"['STELLA MARIS', 'CHRISTIAN NICOLAS', 'MAGDALENA', 'PABLO JAVIER', 'JORGE EDUARDO', 'MARIA DEL ROSARIO', 'LARA SOL', 'CESAR JUAN AUGUSTO', 'SILVIA MONICA', 'ADRIAN GABRIEL', 'MARIA ROSA', 'CAROLINA LIS', 'DANIELA', 'MARIA FLORENCIA']",Alianza Frente P/Victoria (Peronismo Pampeano),La Pampa,5,9
Elías de Perez    Silvia Beatriz,Elías de Perez    Silvia Beatriz,"['JUAN PABLO', 'ANDREA AGUSTINA', 'BRAHIAN EZEQUIEL', 'ALEJANDRINA MARIA', 'GUSTAVO ALFREDO', 'CRISTIAN GERARDO', 'FELIPE', 'GLADYS AMELIA', 'NICOLAS', 'FERNANDO GERARDO', 'PILAR EUGENIA', 'MICALEA STEFANIA', 'IVANA MARIEL', 'JAVIER HORACIO', 'MIGUEL ANTONIO', 'SILVIA  ANDREA', 'PABLO EZEQUIEL', 'SOLANGE MICAELA', 'PABLO AGUSTIN', 'ANALIA LAURA', 'ANDRES HORACIO', 'MAURO ABEL MAXIMILIANO', 'GUSTAVO ANDRES', 'JORGE EDUARDO', 'SILVIA MABEL', 'MARIA FERNANDA', 'MARIANA GISELLE', 'HECTOR HUGO']",Alianza Cambiemos,Tucumán,16,11
Espínola    Carlos Mauricio,Espínola    Carlos Mauricio,"['MARTIN HECTOR', 'LORENA ITATI', 'ROQUE EUGENIO', 'JACQUELINE', 'FACUNDO', 'BARBARA EVA', 'MIGUEL ALBERTO', 'HORACIO LEONARDO', 'MARCOS DANIEL', 'GUSTAVO LUIS', 'HORACIO ALEJANDRO', 'VALERIA SOLEDAD', 'LUIS ALBERTO', 'AURORA CECILIA', 'SILVIA EUGENIA', 'MARIA GUILLERMINA', 'SUSANA RAQUEL', 'FEDERICO', 'LUIS SERVANDO', 'MARIA SELVA', 'DANIEL ROBERTO', 'PABLO EMANUEL', 'JOSE IGNACIO', 'LEANDRO LUIS MARTIN', 'JUAN CARLOS', 'MARIA PIA', 'TITO ANTONIO', 'MIGUEL ANGEL EVARISTO', 'MARIO DEL TRANSITO']",Alianza Frente para la Victoria,Corrientes,19,10
Fernández de Kirchner    Cristina E.,Fernández de Kirchner    Cristina E.,"['ROMINA', 'FRANCISCO MARIA', 'GABRIEL ORLANDO', 'JULIETA', 'MARIANO RAMIRO', 'NANCY ELIZABETH', 'FEDERICO', 'DIEGO EMILIANO', 'HERNAN', 'VIRGINIA ELENA']",Unidad Ciudadana,Buenos Aires,6,4
Fernández Sagasti    Anabel,Fernández Sagasti    Anabel,"['PABLO DANIEL', 'MALENA', 'SEBASTIAN MARTIN', 'ANDREA VERONICA', 'HELIANA MAGALI', 'VALERIA ALEJANDRA', 'JIMENA', 'GABRIEL', 'MARIA LUZ', 'JUAN MIGUEL', 'LILEN', 'MARIA AMALIA', 'FLABIO ANDRES', 'LIDIA ROSA', 'GUSTAVO OSCAR', 'SILVINA MARTA', 'FELIX RODOLFO', 'EMMANUEL', 'CECILIA YAEL', 'ARMANDO HUMBERTO', 'CARLOS GABRIEL', 'GABRIELA VALENTINA', 'ELEONORA JORGELINA', 'MARIA CELESTE', 'MARIANO MARTIN', 'CRISTIAN OSCAR', 'AYELEN', 'VALENTINA CELESTE', 'ROMAN PABLO ALBERTO', 'OSCAR ALFREDO', 'MARIA CAROLINA']",Alianza Frente para la Victoria,Mendoza,14,17
Fiad    Mario Raymundo,Fiad    Mario Raymundo,"['BERNARDO ENRIQUE', 'BETIANA', 'IGNACIO EZEQUIEL', 'ROMINA ISABEL', 'FEDERICO TOMAS', 'JUAN CARLOS', 'JESUS GABRIEL', 'AUGUSTO MARIANO', 'MARTA LEONIDA', 'SILVIA BEATRIZ', 'LAUTARO', 'BEATRIZ RAQUEL', 'PAOLA ALEJANDRA', 'CARLOS MANUEL']",Frente Jujeño Cambiemos,Jujuy,8,6
Fiore Viñuales    María Cristina del Valle,Fiore Viñuales    María Cristina del Valle,"['LAURA MARCELA', 'MARIA BELEN', 'ROMINA FERNANDA', 'FLORENCIA', 'LEONARDO ARIEL', 'ELSA FERNANDA', 'JUAN MARTIN', 'PAOLA ALEJANDRA', 'JULIO ALBERTO', 'JULIETA', 'VICTORIA AGUSTINA', 'VALENTINA', 'SILVINA MARIA', 'ELIAS DOMINGO', 'ARNALDO MARCELO', 'CLAUDIO JOSE NORBERTO', 'GUILLERMO MANUEL', 'MARIANO HERNAN', 'MAURO', 'INDIANA BEATRIZ', 'SEBASTIAN EZEQUIEL', 'ANDREA LAURA', 'NORBERTO FABIAN', 'MARTIN ADRIAN']",Frente para la Victoria,Salta,12,12
Fuentes    Marcelo Jorge,Fuentes    Marcelo Jorge,"['DAIANA SOLEDAD', 'MARIA GABRIELA', 'JORGE JOSE', 'VALERIA CONSTANZA', 'GRACIELA', 'PEDRO LUIS', 'SOLEDAD', 'JOSE RAMON', 'ROMINA PAULA', 'MARIA LAURA', 'MARIA RAFAELA', 'SALOME EMILSE', 'PATRICIA SILVANA', 'NAHUEL', 'LUCASOSCAR', 'JOSE MARIO', 'DANIEL RAUL', 'LUCAS EMANUEL', 'MARINA', 'LAURA MERCEDES']",Frente para la Victoria,Neuquén,7,12
García Larraburu    Silvina Marcela,García Larraburu    Silvina Marcela,"['NELIDA INES', 'ANAHI', 'JULIETA', 'JULIO JAVIER', 'ALEXA BENITA', 'FERNANDO ANIBAL', 'DANIELA IVANA', 'MARIA AGUSTINA', 'OSCAR EDUARDO', 'LUIS MATEO', 'GUILLERMO MARTIN', 'DEBORA FLORENCIA', 'JULIETA MERCEDES ANDREA', 'ZULMA LUCRECIA', 'CARLA MARIA', 'RUBEN ALEJANDRO', 'DANIELA ELIZABETH', 'MARIA CLARA', 'PATRICIA ALBERTA', 'JOSE ANTONIO']",Frente para la Victoria,Río Negro,7,13
